type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,3C:61:05:12:7D:CC,-77,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,14801167,0,37,0,0,15.121631,128,[37 80 2 0 0 0 0 0 0 0 0 0 -15 -22 -12 -22 -13 -23 -14 -24 -14 -27 -8 -23 -10 -23 -9 -19 -12 -20 -8 -21 -8 -23 -8 -21 -7 -24 -7 -23 -9 -21 -12 -23 -8 -19 -8 -17 -9 -18 -9 -19 -9 -18 -6 -20 -7 -19 -8 -18 -9 -18 -10 -20 0 0 -9 -16 -13 -16 -11 -15 -11 -18 -8 -13 -10 -16 -13 -14 -11 -13 -13 -14 -11 -12 -12 -15 -12 -14 -13 -13 -13 -13 -11 -13 -11 -12 -15 -11 -11 -10 -15 -10 -14 -10 -14 -9 -13 -7 -14 -8 -13 -8 -15 -8 -11 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-77,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,14845654,0,37,0,0,15.165887,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 -25 18 -23 18 -19 20 -27 17 -26 19 -20 17 -18 17 -19 21 -18 18 -18 18 -19 19 -18 19 -15 17 -14 17 -16 18 -17 16 -14 16 -15 16 -14 16 -15 19 -16 17 -14 14 -11 14 -14 17 -14 13 -14 0 0 12 -13 9 -15 14 -16 11 -16 11 -15 11 -16 11 -15 11 -14 9 -15 9 -15 10 -13 7 -18 8 -15 7 -15 6 -15 6 -18 6 -17 6 -15 5 -16 5 -16 5 -16 4 -15 3 -15 4 -17 4 -17 1 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-80,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15587758,0,84,0,0,15.907944,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 -22 -3 -19 -7 -24 -6 -24 -6 -23 -3 -21 -5 -23 -3 -20 -1 -24 -1 -22 0 -27 -3 -25 -4 -26 0 -25 0 -22 -1 -23 -2 -18 -2 -19 -1 -21 -2 -17 0 -19 -4 -21 -2 -17 -2 -19 -1 -24 -1 -18 0 0 -4 -18 -5 -19 -4 -18 -5 -17 -4 -20 -5 -16 -6 -14 -10 -14 -6 -15 -10 -14 -13 -16 -8 -14 -8 -16 -7 -10 -8 -15 -12 -12 -13 -14 -12 -11 -8 -7 -12 -10 -10 -14 -12 -12 -12 -9 -12 -9 -11 -12 -13 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15593523,0,84,0,0,15.943705,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -20 -6 -22 -4 -21 -9 -23 -9 -21 -11 -16 -7 -17 -10 -21 -7 -23 -9 -20 -7 -20 -8 -17 -9 -17 -13 -16 -11 -16 -9 -18 -13 -16 -10 -13 -11 -18 -10 -15 -10 -14 -10 -16 -11 -15 -10 -18 -12 -17 -12 -15 -9 0 0 -14 -9 -13 -7 -14 -7 -14 -4 -13 -10 -16 -11 -16 -9 -13 -8 -14 -8 -16 -4 -15 -5 -10 -8 -14 -5 -15 -2 -15 -4 -10 -5 -17 -3 -9 -2 -15 -3 -12 1 -14 -1 -14 -1 -18 -1 -16 -1 -14 -2 -13 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-81,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15598576,0,84,0,0,15.989496,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -21 8 -21 8 -22 4 -24 0 -23 2 -20 3 -22 3 -17 3 -22 2 -19 -1 -19 2 -23 0 -18 1 -20 2 -16 -1 -19 1 -21 -2 -18 -2 -20 -4 -18 -4 -19 0 -18 -2 -19 -4 -16 -1 -18 0 -18 1 0 0 -20 1 -18 2 -16 4 -14 4 -14 1 -15 4 -15 3 -13 4 -15 6 -13 5 -15 5 -13 2 -15 6 -13 5 -13 8 -11 8 -16 8 -13 9 -11 8 -8 11 -13 9 -11 8 -12 9 -10 9 -10 10 -10 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-80,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15603603,0,84,0,0,16.30752,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 5 -19 5 -22 8 -22 3 -20 4 -17 4 -21 1 -21 5 -17 2 -24 -1 -19 -1 -19 0 -21 -1 -19 -3 -15 -5 -22 -1 -22 -1 -15 0 -16 1 -16 -2 -16 1 -17 -1 -14 -3 -19 -1 -22 -2 -16 -1 0 0 -14 -3 -16 -1 -17 -3 -17 1 -15 -4 -16 2 -17 2 -15 0 -15 5 -14 1 -15 3 -15 3 -16 -2 -15 2 -14 3 -15 5 -15 5 -11 6 -13 4 -14 4 -15 4 -11 4 -13 2 -12 6 -14 1 -11 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15608665,0,84,0,0,16.72478,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 7 -18 5 -20 6 -21 6 -19 5 -19 1 -20 7 -16 8 -19 7 -20 3 -21 4 -21 5 -20 3 -19 1 -20 -1 -20 1 -20 1 -18 -1 -18 0 -15 1 -17 2 -16 0 -15 0 -18 2 -19 0 -19 2 0 0 -16 0 -17 1 -16 3 -15 3 -16 2 -15 1 -17 1 -15 1 -17 2 -15 5 -15 5 -15 3 -13 0 -14 4 -14 4 -16 5 -16 2 -12 6 -14 6 -10 6 -15 8 -11 6 -13 7 -13 6 -11 5 -14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15614583,0,84,0,0,16.112845,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 -15 14 -11 14 -14 17 -14 17 -8 19 -11 13 -7 11 -10 15 -8 14 -9 18 -11 21 -10 20 -7 16 -8 17 -7 20 -7 19 -4 17 -4 17 -5 14 -8 17 -5 14 -9 14 -1 14 -8 16 -5 15 -5 0 0 15 -2 15 -6 13 -8 14 -11 14 -5 13 -9 14 -8 13 -10 11 -9 9 -10 14 -10 12 -6 11 -9 10 -9 9 -7 7 -8 13 -13 9 -10 8 -12 7 -13 10 -10 11 -12 8 -14 9 -11 9 -9 7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-81,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15619628,0,84,0,0,16.154084,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 12 -13 10 -18 12 -14 16 -13 10 -9 13 -15 12 -12 6 -18 9 -16 10 -16 7 -17 6 -17 7 -16 5 -17 1 -15 6 -17 3 -15 8 -11 7 -16 5 -16 2 -15 7 -14 3 -15 5 -17 5 -13 3 0 0 -14 4 -14 7 -13 6 -12 6 -15 3 -14 5 -12 6 -12 6 -11 7 -14 7 -15 8 -14 6 -12 7 -7 6 -10 5 -11 9 -14 11 -10 9 -11 7 -8 9 -12 7 -10 9 -13 9 -10 6 -10 6 -7 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-81,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,15624556,0,84,0,0,16.194878,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 19 -9 21 -5 20 -11 22 -9 18 -10 11 -14 21 -9 13 -10 16 -11 12 -13 13 -14 17 -10 19 -16 18 -11 14 -12 18 -12 14 -12 14 -10 12 -10 11 -9 12 -11 15 -11 12 -12 13 -11 17 -13 15 0 0 -7 15 -8 15 -9 17 -8 16 -7 13 -8 14 -5 13 -5 14 -5 16 -5 15 -5 15 -2 13 -4 16 -4 12 -2 15 -2 15 -3 15 0 13 -2 16 3 14 0 15 1 14 3 13 -2 14 -1 10 1 13 0 0 0 0 0 0 0 0 0 0 ]
