type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,3C:61:05:12:7D:CC,-54,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,2755813,0,37,0,0,3.75965,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 -9 18 -9 20 -10 20 -10 20 -9 18 -7 20 -8 18 -6 19 -8 20 -4 22 -5 22 -4 21 -5 20 -4 18 -4 21 -7 19 -4 18 -4 18 -4 19 -5 17 -5 19 -6 17 -3 19 -4 20 -5 19 -5 0 0 18 -7 19 -7 18 -8 18 -8 16 -7 17 -9 18 -9 16 -8 17 -10 18 -7 19 -8 16 -7 17 -8 17 -9 17 -9 17 -10 18 -12 16 -10 16 -11 15 -11 15 -11 16 -12 16 -11 17 -11 16 -10 15 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-54,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,2759290,0,37,0,0,3.107596,128,[37 80 2 0 0 0 0 0 0 0 0 0 10 -19 11 -18 11 -20 12 -20 12 -18 13 -16 14 -16 14 -14 14 -16 15 -15 15 -18 15 -18 14 -16 14 -16 14 -13 16 -17 15 -13 14 -12 14 -13 15 -13 15 -12 15 -13 13 -11 13 -14 14 -16 14 -15 0 0 13 -15 13 -15 13 -16 13 -15 11 -13 13 -15 13 -16 13 -14 12 -16 12 -15 12 -17 10 -15 10 -17 12 -16 12 -15 11 -17 12 -18 11 -16 12 -16 11 -16 11 -16 11 -17 10 -17 10 -19 9 -17 9 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2844496,0,84,0,0,3.164395,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 4 -16 4 -16 4 -17 3 -16 3 -16 2 -16 2 -16 2 -16 1 -16 0 -17 0 -17 0 -17 -1 -17 -1 -16 -2 -17 -1 -16 -2 -15 -1 -16 -1 -16 -2 -16 -2 -16 -2 -15 -2 -16 -2 -17 -2 -16 -1 0 0 -15 -1 -16 -1 -16 0 -15 0 -15 -1 -16 0 -16 -1 -15 0 -16 0 -14 1 -15 1 -15 0 -15 1 -15 2 -15 1 -15 2 -16 2 -14 3 -14 3 -13 4 -15 3 -15 3 -15 3 -15 4 -15 3 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2847251,0,84,0,0,3.196502,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 10 9 10 9 11 8 12 8 11 7 11 7 11 7 11 7 12 6 12 7 13 6 12 6 13 5 13 5 12 6 13 5 12 4 12 5 12 5 12 5 12 5 13 4 12 5 12 5 13 5 11 0 0 6 12 6 12 6 12 6 11 5 12 6 12 6 12 6 11 7 11 7 10 7 10 7 10 7 10 7 10 7 10 8 10 8 11 8 9 8 9 9 8 9 9 8 10 9 10 9 9 8 9 9 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2851895,0,84,0,0,3.231353,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -1 -14 -2 -16 -2 -16 -2 -16 -3 -14 -4 -15 -4 -14 -3 -15 -4 -15 -5 -15 -6 -15 -5 -14 -6 -14 -6 -13 -6 -15 -6 -13 -6 -13 -7 -13 -6 -13 -6 -13 -6 -14 -6 -12 -7 -13 -7 -14 -7 -13 -6 0 0 -13 -6 -13 -5 -13 -6 -13 -5 -12 -6 -14 -5 -14 -5 -13 -5 -14 -5 -13 -3 -14 -4 -13 -4 -13 -4 -13 -3 -14 -4 -14 -3 -14 -3 -13 -2 -14 -2 -13 -1 -13 -2 -14 -3 -15 -2 -14 -2 -14 -2 -13 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2857865,0,84,0,0,3.275972,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 0 16 1 16 1 17 2 16 3 15 3 16 4 15 4 15 5 15 5 16 5 16 5 15 5 15 6 14 6 15 7 14 6 13 6 13 7 13 7 14 7 13 7 12 7 13 6 14 7 13 6 0 0 14 6 13 6 14 6 13 5 13 6 14 6 14 6 13 5 14 5 13 3 14 4 13 4 14 4 14 4 14 4 14 3 15 4 14 2 14 2 14 1 14 3 14 3 14 2 15 1 15 3 14 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2863898,0,84,0,0,3.311566,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -8 12 -8 12 -9 14 -8 13 -7 13 -6 13 -6 12 -6 13 -6 13 -5 14 -5 14 -5 14 -4 14 -4 13 -3 14 -4 13 -4 13 -4 13 -3 13 -3 13 -4 13 -4 12 -3 13 -3 14 -3 13 -4 0 0 13 -4 13 -4 13 -4 12 -4 13 -4 13 -5 13 -5 12 -5 12 -5 11 -5 12 -6 12 -5 12 -5 11 -6 12 -6 11 -7 12 -7 10 -7 11 -7 9 -8 11 -7 11 -8 11 -8 11 -8 11 -7 10 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2869957,0,84,0,0,3.351585,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 14 0 13 0 14 0 15 -1 14 -1 14 -2 14 -1 14 -2 14 -3 14 -3 15 -3 15 -4 14 -4 14 -4 13 -4 14 -4 13 -4 13 -4 13 -4 13 -4 13 -4 13 -4 12 -4 13 -4 14 -3 13 0 0 -4 13 -3 13 -3 13 -2 13 -4 12 -3 13 -3 14 -2 12 -2 13 0 12 -1 13 -2 13 -1 13 0 12 -1 13 0 13 -1 14 1 12 0 12 2 12 1 13 0 13 1 13 2 13 0 14 1 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2875900,0,84,0,0,3.390302,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -1 14 -1 13 -1 14 -2 15 -2 14 -3 13 -2 14 -3 13 -3 13 -4 13 -5 14 -5 14 -6 13 -6 13 -6 12 -5 14 -5 12 -6 12 -5 13 -6 13 -5 12 -5 13 -6 12 -6 12 -7 13 -5 12 0 0 -5 13 -5 12 -4 13 -4 13 -5 12 -4 13 -4 13 -3 12 -3 13 -2 12 -3 13 -4 13 -3 13 -2 12 -3 13 -2 13 -3 14 -1 13 -1 13 1 12 -1 13 -1 13 -1 13 -1 13 -2 13 -1 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-58,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,2880781,0,84,0,0,3.430323,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 -7 -13 -7 -14 -7 -14 -8 -14 -8 -12 -8 -13 -8 -13 -8 -12 -9 -12 -9 -12 -10 -12 -10 -12 -10 -11 -11 -11 -10 -12 -11 -11 -10 -10 -10 -10 -10 -11 -9 -11 -9 -11 -10 -10 -10 -10 -10 -11 -11 -11 -9 0 0 -11 -9 -12 -9 -11 -9 -12 -9 -11 -9 -12 -8 -12 -9 -12 -8 -12 -7 -12 -6 -12 -7 -11 -7 -12 -7 -12 -6 -12 -7 -13 -6 -14 -7 -13 -5 -13 -5 -13 -4 -13 -5 -13 -5 -14 -5 -14 -4 -13 -5 -13 -4 0 0 0 0 0 0 0 0 0 0 ]
