type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,3C:61:05:12:7D:CC,-73,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,7331828,0,37,0,0,7.655443,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 15 -11 15 -11 13 -11 15 -11 15 -13 13 -13 15 -12 12 -14 15 -15 13 -14 14 -16 13 -17 12 -16 13 -16 12 -14 15 -16 12 -15 12 -14 11 -16 13 -15 12 -16 12 -14 10 -14 12 -15 14 -14 14 0 0 -13 15 -14 14 -15 14 -13 14 -14 11 -13 14 -14 16 -13 13 -12 16 -14 15 -15 17 -14 14 -12 16 -13 16 -12 15 -11 17 -11 17 -12 18 -11 16 -11 16 -11 17 -11 16 -11 18 -10 18 -10 17 -10 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-73,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,7371546,0,37,0,0,7.695011,128,[37 80 2 0 0 0 0 0 0 0 0 0 -18 -4 -19 -4 -18 -5 -19 -6 -19 -8 -17 -8 -18 -8 -19 -10 -18 -9 -18 -10 -17 -11 -20 -12 -18 -13 -19 -11 -18 -12 -21 -11 -17 -9 -17 -12 -19 -12 -17 -13 -16 -12 -18 -13 -18 -13 -18 -11 -20 -12 -18 -12 0 0 -17 -11 -21 -13 -19 -11 -21 -11 -19 -11 -19 -10 -20 -11 -19 -11 -21 -10 -19 -11 -21 -10 -20 -11 -20 -9 -20 -10 -22 -11 -22 -9 -23 -9 -21 -8 -22 -9 -21 -9 -21 -9 -22 -8 -23 -10 -23 -9 -22 -7 -22 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,7378861,0,84,0,0,7.738191,384,[84 -64 4 0 0 0 0 0 0 0 0 0 11 -8 9 -6 8 -7 11 -3 13 -5 11 -4 14 -3 11 -6 11 -5 14 -3 14 -2 14 -3 13 -3 14 -2 15 -2 15 -1 13 -2 15 -3 15 -2 13 -2 13 -1 15 1 14 2 14 -2 16 -1 15 -1 0 0 14 0 12 -1 14 -1 14 -2 12 -1 13 -3 15 -2 14 -2 14 -3 12 0 14 -4 14 -3 14 -2 15 -4 13 -4 14 -4 15 -5 12 -6 14 -5 12 -6 14 -6 14 -4 15 -5 14 -7 16 -5 13 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-76,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,7379246,0,84,0,0,7.777225,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 2 -11 0 -15 0 -13 -3 -17 1 -13 -3 -13 -1 -13 -1 -14 -3 -15 -4 -13 -1 -14 -3 -14 -3 -16 -4 -15 -4 -14 -2 -14 -5 -12 -5 -13 -3 -13 -5 -14 -4 -14 -5 -13 -4 -15 -5 -14 -5 -16 -3 0 0 -15 -5 -14 -3 -13 -2 -15 -3 -14 -4 -15 -3 -15 -2 -14 -3 -15 -3 -17 -2 -14 0 -14 -3 -15 -3 -15 0 -15 1 -16 1 -15 0 -15 -1 -15 2 -15 0 -16 0 -15 0 -16 1 -16 3 -17 1 -16 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,7379433,0,84,0,0,7.820436,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -13 -2 -15 -1 -12 2 -13 -1 -12 1 -14 2 -15 1 -12 1 -13 4 -14 4 -14 4 -14 3 -14 3 -15 6 -14 4 -14 4 -14 5 -14 5 -14 5 -12 3 -14 3 -14 6 -15 6 -12 6 -15 4 -13 0 0 3 -13 4 -15 5 -15 3 -13 3 -13 3 -14 3 -15 3 -15 2 -14 3 -14 2 -14 4 -14 2 -15 2 -14 1 -13 1 -16 1 -15 0 -14 -1 -15 -1 -14 3 -16 0 -16 0 -15 0 -14 0 -15 0 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-80,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,7380511,0,84,0,0,7.861056,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 11 2 12 1 12 2 13 0 12 0 12 1 14 -1 14 -2 12 0 11 -1 14 0 14 -1 16 0 10 -1 14 -1 13 -2 11 -2 13 -1 14 -2 13 -1 14 -3 13 -3 13 0 13 -3 14 1 13 0 0 0 14 -1 14 -3 14 0 14 1 14 2 14 0 15 3 16 1 12 3 13 2 14 0 14 2 13 2 14 2 12 3 15 4 14 4 12 4 13 4 13 6 15 5 15 3 14 5 14 5 15 5 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,7381094,0,84,0,0,7.898025,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -4 14 -5 11 -2 13 -3 10 -3 11 -2 15 -3 13 -1 12 -2 13 -1 12 -2 14 -1 14 2 13 -1 13 1 16 2 17 3 12 2 12 3 13 1 14 1 16 2 12 2 14 1 14 3 13 0 0 0 13 2 14 2 15 2 12 0 13 0 15 0 16 1 15 0 15 0 15 -1 15 0 14 -3 15 -2 14 -2 14 -1 16 -3 16 -2 13 -4 14 -4 14 -2 16 -3 14 -2 15 -3 13 -3 15 -3 14 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,7384314,0,84,0,0,7.936146,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 -11 -6 -9 -7 -8 -10 -12 -6 -12 -5 -12 -8 -9 -7 -10 -8 -10 -6 -12 -6 -13 -6 -14 -4 -12 -5 -12 -6 -14 -3 -13 -5 -12 -4 -13 -4 -13 -5 -11 -5 -11 -5 -13 -5 -13 -5 -13 -5 -13 -5 -11 0 0 -6 -12 -5 -13 -7 -13 -6 -11 -8 -10 -6 -12 -6 -11 -6 -13 -5 -12 -8 -12 -9 -11 -6 -11 -7 -12 -6 -11 -8 -12 -8 -12 -9 -10 -8 -10 -9 -11 -11 -9 -10 -10 -9 -11 -11 -11 -10 -9 -11 -9 -11 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-76,11,1,3,1,1,1,1,0,0,0,-94,2,8,1,7387129,0,84,0,0,7.980951,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -5 -13 -8 -13 -6 -13 -7 -11 -6 -13 -7 -11 -8 -12 -7 -13 -8 -13 -7 -14 -10 -11 -9 -10 -9 -12 -11 -12 -9 -11 -9 -10 -10 -9 -11 -10 -12 -12 -10 -11 -11 -12 -9 -11 -10 -12 -12 -11 -11 -11 -10 0 0 -10 -11 -12 -9 -12 -9 -10 -11 -11 -8 -12 -9 -12 -9 -12 -8 -13 -9 -14 -9 -14 -8 -12 -6 -13 -8 -13 -6 -14 -8 -14 -8 -13 -6 -13 -5 -16 -6 -14 -6 -14 -7 -12 -5 -16 -7 -14 -6 -16 -7 -13 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-76,11,1,3,1,1,1,1,0,0,0,-94,2,8,1,7387129,0,84,0,0,8.26566,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -5 -13 -8 -13 -6 -13 -7 -11 -6 -13 -7 -11 -8 -12 -7 -13 -8 -13 -7 -14 -10 -11 -9 -10 -9 -12 -11 -12 -9 -11 -9 -10 -10 -9 -11 -10 -12 -12 -10 -11 -11 -12 -9 -11 -10 -12 -12 -11 -11 -11 -10 0 0 -10 -11 -12 -9 -12 -9 -10 -11 -11 -8 -12 -9 -12 -9 -12 -8 -13 -9 -14 -9 -14 -8 -12 -6 -13 -8 -13 -6 -14 -8 -14 -8 -13 -6 -13 -5 -16 -6 -14 -6 -14 -7 -12 -5 -16 -7 -14 -6 -16 -7 -13 -8 0 0 0 0 0 0 0 0 0 0 ]
