type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,02:E6:B7:1C:8B:06,-50,11,1,7,0,1,1,0,0,0,0,-95,0,8,0,170813,0,150,0,0,0.511381,256,[-106 -32 8 0 15 -18 15 -19 14 -17 13 -18 12 -17 11 -17 11 -17 10 -17 10 -17 9 -16 8 -16 8 -16 8 -16 7 -16 7 -16 7 -16 6 -15 7 -15 6 -16 6 -15 6 -15 6 -15 6 -14 6 -14 6 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -18 11 -18 13 -18 14 -18 15 -17 15 -17 16 -17 15 -17 16 -17 16 -16 16 -16 16 -16 17 -16 17 -16 17 -16 17 -16 17 -17 16 -17 17 -17 16 -17 16 -18 17 -18 16 -19 16 -18 16 -18 16 -19 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-48,11,1,3,0,1,1,0,0,0,0,-95,0,8,0,172882,0,94,0,0,0.544845,256,[94 96 5 0 15 -19 14 -19 13 -18 13 -18 11 -17 11 -18 10 -17 9 -17 9 -18 8 -17 8 -17 7 -17 7 -17 7 -16 6 -17 6 -16 6 -16 6 -16 5 -16 5 -16 5 -15 5 -15 5 -15 5 -14 5 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -19 11 -19 13 -19 14 -19 14 -18 16 -18 15 -17 16 -17 17 -16 17 -17 17 -17 17 -17 17 -17 17 -17 16 -17 17 -17 17 -17 16 -17 17 -18 16 -18 16 -18 17 -18 16 -19 16 -19 16 -19 16 -20 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-49,11,1,7,0,1,1,0,0,0,0,-95,0,8,0,223232,0,94,0,0,0.588735,256,[94 96 5 0 3 -24 3 -24 2 -22 1 -23 1 -22 1 -22 0 -21 0 -20 -1 -20 -1 -20 -2 -19 -2 -19 -2 -19 -2 -18 -2 -18 -3 -17 -3 -18 -3 -17 -3 -17 -3 -17 -3 -17 -3 -16 -3 -16 -2 -15 -2 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -20 0 -21 1 -21 3 -23 3 -22 4 -23 4 -22 5 -22 5 -22 5 -22 6 -22 6 -22 6 -23 5 -23 5 -23 5 -23 6 -24 5 -23 5 -24 5 -24 4 -24 5 -24 3 -24 4 -25 4 -25 4 -25 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-50,11,1,7,0,1,1,0,0,0,0,-95,0,8,0,307679,0,126,0,0,0.648055,256,[126 96 7 0 -4 25 -3 24 -3 23 -3 23 -2 22 -2 21 -1 21 -1 21 0 20 0 20 1 19 1 19 1 18 1 18 2 18 2 18 2 17 2 17 2 17 2 17 2 16 2 16 2 16 2 16 1 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 21 0 21 -1 22 -3 23 -3 23 -4 23 -5 22 -5 22 -6 23 -6 23 -6 22 -6 23 -6 23 -6 23 -6 23 -6 23 -6 24 -6 24 -6 24 -6 24 -5 25 -5 25 -5 25 -5 25 -5 26 -5 26 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-50,11,1,7,0,1,1,0,0,0,0,-95,0,8,0,318845,0,130,0,0,0.676681,256,[-126 -96 7 0 -26 2 -25 3 -24 3 -24 3 -22 3 -22 4 -22 3 -21 4 -21 4 -20 5 -19 5 -19 5 -19 5 -18 6 -18 6 -18 6 -17 6 -17 6 -16 6 -17 6 -16 6 -16 5 -16 5 -15 5 -15 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 7 -22 6 -22 5 -23 4 -23 3 -24 3 -24 2 -24 1 -24 1 -24 1 -25 0 -25 0 -25 0 -24 0 -25 0 -25 0 -25 1 -25 1 -26 1 -26 1 -26 1 -26 1 -26 2 -27 2 -27 2 -26 2 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-60,11,0,0,0,0,0,0,0,0,0,-95,0,8,0,333564,0,30,0,0,0.716662,128,[30 -32 1 0 14 14 14 14 14 14 14 13 14 13 15 13 14 12 15 11 15 11 16 10 16 10 16 10 17 9 17 8 17 8 17 9 18 9 18 10 18 10 17 10 17 11 16 12 16 13 15 13 14 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 16 13 16 12 18 11 18 11 19 10 18 9 19 8 19 8 19 7 19 7 19 7 18 7 18 8 17 7 16 9 16 9 16 10 16 11 16 11 16 11 16 12 16 12 15 13 16 13 15 13 16 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-49,11,1,7,0,1,1,0,0,0,0,-95,0,8,0,462742,0,150,0,0,0.803294,256,[-106 -32 8 0 0 24 1 24 1 22 1 22 2 21 2 21 2 20 3 20 3 19 3 18 4 18 4 18 4 17 4 17 4 17 4 16 4 16 4 15 5 15 4 15 4 15 4 15 3 14 3 14 3 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 19 5 20 3 21 2 22 2 22 1 23 1 22 0 23 -1 22 -1 22 -1 23 -1 23 -1 23 -1 23 -1 23 -1 23 -1 23 -1 23 -1 24 0 24 0 24 0 25 0 24 0 25 0 25 0 24 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-49,11,1,7,0,1,1,0,0,0,0,-95,0,8,0,462896,0,94,0,0,0.830297,256,[94 96 5 0 -1 -25 -1 -23 -2 -24 -2 -22 -2 -22 -3 -21 -3 -21 -4 -21 -3 -20 -4 -19 -4 -19 -4 -19 -5 -18 -5 -18 -5 -17 -5 -17 -5 -17 -6 -17 -6 -16 -6 -16 -5 -16 -5 -16 -4 -15 -4 -15 -4 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -21 -4 -21 -4 -22 -2 -23 -2 -23 -1 -23 0 -23 0 -23 0 -23 1 -24 1 -24 2 -24 2 -24 2 -24 1 -23 1 -24 1 -24 1 -25 0 -24 0 -24 0 -25 0 -25 0 -25 0 -25 0 -26 0 -26 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-50,11,1,7,0,1,1,0,0,0,0,-95,0,8,1,550676,0,129,0,0,0.891660,256,[-127 -112 7 0 0 0 0 0 0 0 0 0 21 -4 22 -3 22 -2 23 -2 24 -2 24 -1 24 0 24 0 25 1 25 1 25 2 25 2 25 3 25 3 25 3 25 3 25 3 25 4 25 3 25 3 25 3 25 4 25 3 25 3 25 3 25 3 0 0 24 3 24 3 23 2 22 2 22 2 21 1 21 1 20 0 20 0 19 0 19 0 19 -1 18 -1 18 -1 17 -1 17 -2 16 -2 16 -2 15 -3 15 -3 15 -3 15 -3 14 -3 13 -3 13 -4 13 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,02:E6:B7:1C:8B:06,-50,11,1,7,0,1,1,0,0,0,0,-95,0,8,1,550793,0,114,0,0,0.922149,256,[114 -96 6 0 0 0 0 0 0 0 0 0 15 12 14 13 15 14 14 15 14 16 14 16 14 16 13 17 14 17 13 18 13 18 13 18 13 19 12 19 12 19 13 18 12 19 12 19 12 19 12 19 12 18 12 19 13 19 13 19 13 19 13 18 0 0 13 17 13 17 12 17 12 16 12 15 13 14 12 14 12 13 12 13 12 13 12 12 12 12 12 11 12 10 12 10 12 10 11 9 11 9 11 8 11 8 11 7 11 7 11 7 10 6 10 6 10 6 0 0 0 0 0 0 0 0 0 0 ]
