type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,3C:61:05:12:7D:CC,-55,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,3242697,0,37,0,0,3.628596,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 -2 -20 -3 -20 -4 -22 -4 -19 -5 -18 -6 -19 -6 -18 -7 -18 -7 -18 -7 -20 -6 -20 -7 -19 -7 -19 -7 -17 -7 -20 -7 -17 -8 -16 -8 -17 -8 -16 -8 -17 -8 -18 -8 -15 -7 -17 -6 -19 -6 -19 -6 0 0 -19 -6 -19 -6 -20 -5 -18 -5 -17 -5 -18 -5 -19 -5 -18 -5 -19 -4 -18 -5 -20 -3 -18 -3 -19 -2 -20 -4 -19 -4 -21 -3 -21 -3 -20 -3 -20 -4 -20 -3 -20 -3 -21 -3 -21 -2 -22 -1 -21 -1 -21 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-55,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,3284922,0,37,0,0,3.670546,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 13 -18 11 -20 12 -20 12 -20 11 -19 8 -20 9 -19 7 -20 8 -21 7 -21 8 -22 8 -21 8 -20 7 -18 6 -22 8 -19 5 -19 5 -19 5 -19 6 -18 6 -20 6 -18 5 -19 7 -20 8 -19 8 0 0 -19 8 -20 9 -19 10 -18 9 -17 8 -18 10 -19 10 -18 9 -18 11 -19 10 -19 11 -17 10 -18 11 -18 11 -19 11 -18 11 -20 13 -18 12 -18 12 -18 12 -18 13 -19 13 -19 14 -19 15 -18 13 -18 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-57,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3285883,0,84,0,0,3.706155,384,[84 -64 4 0 0 0 0 0 0 0 0 0 2 -14 2 -13 2 -14 3 -14 3 -14 4 -12 4 -13 4 -12 4 -12 5 -12 5 -12 5 -12 5 -12 6 -12 6 -11 6 -12 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -12 5 -11 0 0 5 -12 6 -12 5 -12 5 -12 5 -11 4 -12 5 -12 5 -12 4 -12 3 -12 4 -12 4 -12 4 -12 4 -13 4 -13 3 -13 3 -14 2 -12 2 -13 2 -13 3 -13 3 -14 3 -14 2 -14 2 -14 2 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-62,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3289486,0,84,0,0,3.745880,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 -7 -13 -8 -16 -8 -15 -9 -14 -10 -14 -10 -12 -10 -12 -9 -12 -10 -12 -10 -12 -11 -12 -12 -12 -11 -11 -13 -11 -11 -11 -11 -9 -11 -9 -10 -10 -9 -11 -13 -11 -12 -9 -12 -10 -11 -11 -12 -12 -11 -12 -11 0 0 -12 -10 -11 -10 -12 -10 -11 -9 -11 -10 -12 -10 -12 -10 -12 -9 -12 -9 -12 -7 -13 -8 -12 -8 -13 -8 -13 -8 -13 -8 -14 -7 -15 -8 -14 -6 -14 -6 -14 -5 -15 -6 -15 -7 -15 -6 -16 -5 -15 -6 -15 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-57,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3295151,0,84,0,0,3.792465,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -3 -13 -3 -13 -4 -13 -5 -13 -4 -12 -5 -12 -5 -12 -5 -11 -6 -11 -6 -11 -6 -12 -6 -11 -7 -11 -7 -10 -7 -11 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -8 -10 -7 -11 -8 -10 -7 0 0 -10 -7 -11 -7 -11 -6 -10 -6 -10 -7 -11 -6 -11 -6 -11 -6 -11 -6 -11 -5 -11 -6 -10 -6 -11 -6 -11 -5 -11 -5 -12 -5 -12 -5 -12 -3 -12 -4 -12 -3 -13 -4 -12 -5 -13 -5 -13 -4 -13 -5 -13 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-57,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3302586,0,84,0,0,3.837080,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 -8 9 -8 10 -8 11 -8 11 -7 10 -6 11 -6 10 -6 11 -5 11 -5 11 -5 12 -5 12 -5 12 -4 11 -3 12 -4 11 -3 11 -4 11 -3 11 -4 11 -3 11 -3 11 -3 11 -3 12 -3 11 -4 0 0 11 -4 11 -4 11 -4 10 -4 11 -3 11 -4 11 -4 10 -4 11 -5 10 -5 11 -5 10 -5 10 -5 10 -6 11 -5 10 -6 11 -7 10 -6 10 -7 9 -7 10 -7 10 -7 11 -7 10 -8 11 -7 10 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-57,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3307192,0,84,0,0,3.876923,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -6 11 -6 11 -6 11 -7 11 -7 10 -8 9 -7 10 -7 9 -8 9 -8 9 -9 9 -9 9 -9 9 -9 9 -10 8 -9 9 -8 8 -9 8 -9 8 -9 8 -9 8 -9 8 -9 7 -9 8 -9 8 -8 8 0 0 -8 9 -9 8 -8 9 -8 8 -8 8 -8 9 -8 9 -7 9 -7 9 -6 9 -7 10 -7 9 -7 9 -7 10 -7 9 -6 10 -6 11 -5 10 -5 11 -4 11 -5 11 -5 11 -5 11 -5 12 -6 11 -5 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-56,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3313191,0,84,0,0,3.914259,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -1 12 -1 12 -1 13 0 13 0 12 1 12 1 11 1 11 2 12 2 12 3 12 3 11 2 12 3 11 3 12 3 11 3 10 3 11 3 10 3 11 3 11 4 10 3 11 3 12 3 11 2 0 0 11 2 11 2 11 2 11 1 11 2 11 1 12 2 11 1 11 1 11 0 11 0 11 1 12 0 12 -1 11 0 12 -1 12 -1 11 -2 11 -2 11 -2 12 -2 12 -2 12 -2 12 -3 12 -2 12 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-56,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3319116,0,84,0,0,3.951142,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -4 -12 -4 -13 -5 -13 -6 -12 -5 -11 -6 -12 -5 -12 -6 -11 -6 -11 -7 -11 -7 -12 -8 -11 -8 -10 -8 -10 -8 -11 -8 -10 -8 -10 -7 -10 -7 -10 -7 -11 -8 -10 -8 -9 -8 -10 -8 -10 -8 -10 -7 0 0 -11 -7 -11 -7 -11 -7 -11 -6 -10 -7 -11 -7 -11 -7 -11 -6 -11 -6 -11 -5 -11 -5 -11 -6 -11 -6 -12 -5 -11 -5 -12 -4 -13 -5 -12 -3 -12 -4 -12 -3 -13 -4 -12 -4 -13 -4 -13 -4 -13 -5 -13 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-61,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,3325212,0,84,0,0,3.995677,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -10 -8 -10 -8 -11 -8 -12 -7 -11 -6 -11 -6 -11 -6 -11 -5 -11 -6 -12 -6 -12 -5 -12 -5 -13 -4 -12 -4 -12 -5 -13 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -3 -11 -4 -12 -4 -13 -4 -11 0 0 -4 -12 -5 -12 -5 -12 -5 -11 -4 -11 -5 -12 -5 -12 -5 -11 -5 -11 -6 -10 -6 -10 -5 -11 -6 -11 -6 -11 -6 -11 -7 -11 -7 -12 -7 -10 -7 -10 -8 -10 -7 -11 -7 -11 -8 -11 -9 -11 -8 -11 -8 -11 0 0 0 0 0 0 0 0 0 0 ]
