type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,3C:61:05:12:7D:CC,-62,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,8151935,0,37,0,0,8.473931,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 9 15 9 16 10 17 11 15 10 13 11 13 12 12 12 13 12 12 12 14 12 14 13 13 12 13 12 11 11 14 12 11 11 11 11 11 11 11 11 11 11 11 12 10 10 12 10 13 11 13 10 0 0 13 10 14 10 14 10 13 9 12 9 14 9 14 9 13 9 14 8 13 9 15 9 14 8 15 7 15 9 14 9 15 8 16 8 15 8 15 8 15 8 15 8 16 8 16 8 17 7 16 7 16 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-60,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,8154990,0,37,0,0,8.502274,128,[37 80 2 0 0 0 0 0 0 0 0 0 7 18 6 18 7 18 8 20 5 19 4 18 4 19 3 18 4 19 3 18 4 20 4 21 4 20 4 19 3 18 4 21 2 18 2 17 2 18 2 18 2 18 2 19 2 16 3 18 4 19 4 19 0 0 5 18 5 18 6 19 6 17 5 17 6 18 6 18 5 17 7 18 6 18 8 19 6 16 8 17 8 19 7 18 8 18 9 19 8 18 8 18 8 18 8 18 9 18 9 18 11 18 9 18 9 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-63,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8176517,0,84,0,0,8.537947,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 3 -9 3 -10 4 -11 3 -10 1 -10 2 -10 3 -10 3 -10 2 -11 1 -12 1 -12 2 -12 1 -12 0 -10 0 -13 0 -12 0 -11 -1 -11 0 -11 0 -11 0 -12 0 -11 -1 -12 -1 -13 -1 -13 0 0 0 -13 0 -12 1 -13 1 -12 1 -12 -1 -12 0 -13 1 -12 1 -13 1 -11 3 -12 3 -11 1 -12 1 -12 3 -12 2 -12 3 -14 3 -12 4 -12 4 -10 5 -12 3 -12 3 -12 3 -13 4 -12 2 -12 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-62,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8181596,0,84,0,0,8.578044,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 5 9 5 10 6 10 7 9 5 7 7 9 6 8 6 7 6 8 7 8 8 9 9 9 9 8 9 6 7 8 11 8 9 6 8 6 7 6 7 7 8 7 8 5 9 7 10 7 11 8 9 0 0 8 9 8 9 9 9 8 8 6 9 8 8 9 9 7 8 9 8 9 5 10 8 7 8 8 8 9 6 9 7 10 7 11 9 10 6 10 6 10 4 10 7 10 7 11 7 11 7 9 8 10 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-62,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8186487,0,84,0,0,8.610511,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 11 5 11 5 12 4 13 4 11 2 11 3 12 3 11 3 11 2 12 2 14 2 14 2 13 0 13 0 11 2 14 1 13 0 12 0 12 1 12 1 12 1 13 -1 11 0 13 0 14 1 13 0 0 1 13 2 13 1 14 2 13 0 12 2 13 1 14 2 12 2 13 4 11 4 13 2 11 2 12 4 11 3 12 4 12 3 14 5 11 4 12 6 10 4 12 5 12 5 12 5 12 3 12 5 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-63,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,8232163,0,84,0,0,8.646189,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 9 -15 10 -15 9 -16 10 -15 9 -16 6 -16 7 -16 5 -17 6 -16 5 -17 7 -18 7 -17 7 -17 7 -16 6 -18 7 -17 5 -16 5 -16 5 -16 5 -16 5 -17 6 -15 4 -16 7 -18 8 -17 7 0 0 -17 7 -18 8 -17 9 -16 8 -15 7 -16 8 -17 8 -17 7 -17 9 -17 8 -17 10 -16 8 -16 10 -18 10 -17 9 -18 10 -18 11 -17 10 -17 9 -17 10 -18 10 -18 10 -18 11 -18 12 -17 10 -18 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-63,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8233257,0,84,0,0,8.687593,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -11 3 -10 3 -12 4 -11 4 -10 5 -9 5 -11 4 -10 5 -10 6 -10 7 -11 6 -12 6 -11 7 -10 6 -8 7 -12 6 -10 7 -9 7 -9 6 -8 6 -9 7 -9 7 -8 7 -9 8 -10 7 -10 0 0 7 -10 7 -10 7 -11 6 -10 7 -9 7 -10 7 -11 6 -10 7 -11 4 -10 5 -11 6 -9 6 -10 5 -11 6 -11 4 -12 7 -13 4 -11 5 -12 2 -12 5 -12 5 -12 5 -12 5 -13 6 -11 4 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-63,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8233631,0,84,0,0,8.726742,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -10 2 -10 2 -11 4 -11 3 -10 4 -9 3 -10 3 -9 4 -10 4 -9 6 -10 5 -11 5 -11 6 -10 5 -9 6 -11 5 -9 5 -8 6 -8 4 -9 5 -9 5 -9 6 -7 6 -9 7 -10 6 -9 0 0 6 -10 5 -10 6 -11 4 -10 6 -9 5 -10 5 -11 4 -9 5 -10 2 -10 3 -11 5 -9 5 -10 4 -11 4 -10 3 -11 4 -13 2 -11 3 -12 0 -11 3 -12 3 -11 3 -12 3 -12 4 -11 3 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-63,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8233879,0,84,0,0,8.765458,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -11 -2 -11 -2 -13 -1 -14 -1 -13 0 -11 0 -12 0 -11 0 -12 1 -12 1 -13 0 -13 1 -13 2 -13 2 -10 2 -14 2 -12 3 -11 2 -11 2 -11 2 -12 2 -12 4 -10 3 -12 3 -13 2 -12 0 0 2 -12 1 -13 2 -13 1 -12 3 -11 2 -12 2 -13 1 -12 2 -13 -1 -11 -1 -13 1 -11 1 -12 0 -13 1 -13 -1 -13 0 -15 -1 -12 -1 -13 -3 -12 -1 -14 0 -13 -1 -14 -1 -14 0 -13 -1 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-63,11,1,0,1,1,1,0,0,0,0,-94,0,8,1,8234145,0,84,0,0,8.806872,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -8 -9 -7 -10 -9 -10 -10 -9 -9 -7 -8 -8 -9 -7 -8 -8 -9 -7 -10 -7 -11 -8 -11 -7 -11 -7 -11 -5 -10 -8 -12 -6 -10 -5 -10 -6 -11 -6 -10 -6 -10 -7 -11 -5 -10 -5 -12 -6 -12 -7 -10 0 0 -7 -11 -7 -11 -7 -12 -7 -10 -6 -11 -7 -10 -8 -12 -7 -10 -8 -11 -9 -8 -9 -10 -6 -10 -7 -10 -8 -9 -8 -10 -9 -9 -10 -12 -9 -8 -10 -9 -10 -7 -9 -10 -9 -10 -9 -10 -10 -10 -8 -11 -9 -9 0 0 0 0 0 0 0 0 0 0 ]
