type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-70,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,22510984,0,37,0,0,22.833376,128,[37 80 2 0 0 0 0 0 0 0 0 0 19 5 19 6 18 6 19 7 17 9 17 8 17 8 17 8 18 9 16 9 17 9 16 9 17 11 17 9 17 9 17 8 15 9 16 9 15 9 16 9 16 9 16 9 15 9 15 8 15 8 16 8 0 0 16 8 16 7 17 7 17 7 16 7 16 6 16 6 17 7 17 6 16 6 16 6 18 6 17 5 19 4 18 4 17 4 19 2 19 4 19 4 16 9 18 6 16 2 22 5 11 -3 25 11 23 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-70,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,22514528,0,37,0,0,22.859775,128,[37 80 2 0 0 0 0 0 0 0 0 0 8 -22 8 -20 10 -21 11 -21 13 -18 11 -21 11 -18 13 -18 12 -20 14 -18 13 -18 13 -18 15 -17 13 -17 12 -18 12 -16 14 -16 12 -16 13 -16 14 -15 14 -17 13 -15 14 -15 13 -17 13 -15 13 -15 0 0 12 -15 12 -16 11 -17 13 -16 11 -16 12 -17 11 -17 12 -16 11 -17 12 -17 12 -17 10 -17 12 -18 11 -19 9 -19 10 -18 9 -19 10 -19 10 -19 10 -20 11 -19 12 -21 12 -22 12 -20 13 -22 11 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,1,3,1,1,1,1,0,0,0,-94,6,8,1,22595279,0,84,0,0,22.917438,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 18 -3 18 -3 16 -3 17 -7 15 -7 17 -6 15 -5 16 -6 16 -6 14 -6 15 -7 14 -8 15 -6 15 -8 14 -8 16 -7 14 -7 14 -6 15 -6 13 -5 15 -7 14 -5 15 -6 13 -5 13 -6 14 0 0 -6 14 -6 13 -5 13 -4 13 -3 13 -3 13 -2 12 -1 13 -3 13 -2 15 -3 12 -3 14 -1 15 1 14 -1 14 -1 15 -1 13 -1 15 0 15 0 15 1 14 1 15 1 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,1,3,1,1,1,1,0,0,0,-94,6,8,1,22595279,0,84,0,0,22.94732,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 18 -3 18 -3 16 -3 17 -7 15 -7 17 -6 15 -5 16 -6 16 -6 14 -6 15 -7 14 -8 15 -6 15 -8 14 -8 16 -7 14 -7 14 -6 15 -6 13 -5 15 -7 14 -5 15 -6 13 -5 13 -6 14 0 0 -6 14 -6 13 -5 13 -4 13 -3 13 -3 13 -2 12 -1 13 -3 13 -2 15 -3 12 -3 14 -1 15 1 14 -1 14 -1 15 -1 13 -1 15 0 15 0 15 1 14 1 15 1 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,1,3,1,1,1,1,0,0,0,-94,6,8,1,22595279,0,84,0,0,22.986723,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 18 -3 18 -3 16 -3 17 -7 15 -7 17 -6 15 -5 16 -6 16 -6 14 -6 15 -7 14 -8 15 -6 15 -8 14 -8 16 -7 14 -7 14 -6 15 -6 13 -5 15 -7 14 -5 15 -6 13 -5 13 -6 14 0 0 -6 14 -6 13 -5 13 -4 13 -3 13 -3 13 -2 12 -1 13 -3 13 -2 15 -3 12 -3 14 -1 15 1 14 -1 14 -1 15 -1 13 -1 15 0 15 0 15 1 14 1 15 1 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,1,3,1,1,1,1,0,0,0,-94,6,8,1,22595279,0,84,0,0,23.26209,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 18 -3 18 -3 16 -3 17 -7 15 -7 17 -6 15 -5 16 -6 16 -6 14 -6 15 -7 14 -8 15 -6 15 -8 14 -8 16 -7 14 -7 14 -6 15 -6 13 -5 15 -7 14 -5 15 -6 13 -5 13 -6 14 0 0 -6 14 -6 13 -5 13 -4 13 -3 13 -3 13 -2 12 -1 13 -3 13 -2 15 -3 12 -3 14 -1 15 1 14 -1 14 -1 15 -1 13 -1 15 0 15 0 15 1 14 1 15 1 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,1,3,1,1,1,1,0,0,0,-94,6,8,1,22595279,0,84,0,0,23.65627,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 18 -3 18 -3 16 -3 17 -7 15 -7 17 -6 15 -5 16 -6 16 -6 14 -6 15 -7 14 -8 15 -6 15 -8 14 -8 16 -7 14 -7 14 -6 15 -6 13 -5 15 -7 14 -5 15 -6 13 -5 13 -6 14 0 0 -6 14 -6 13 -5 13 -4 13 -3 13 -3 13 -2 12 -1 13 -3 13 -2 15 -3 12 -3 14 -1 15 1 14 -1 14 -1 15 -1 13 -1 15 0 15 0 15 1 14 1 15 1 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,1,3,1,1,1,1,0,0,0,-94,6,8,1,22595279,0,84,0,0,23.105038,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 18 -3 18 -3 16 -3 17 -7 15 -7 17 -6 15 -5 16 -6 16 -6 14 -6 15 -7 14 -8 15 -6 15 -8 14 -8 16 -7 14 -7 14 -6 15 -6 13 -5 15 -7 14 -5 15 -6 13 -5 13 -6 14 0 0 -6 14 -6 13 -5 13 -4 13 -3 13 -3 13 -2 12 -1 13 -3 13 -2 15 -3 12 -3 14 -1 15 1 14 -1 14 -1 15 -1 13 -1 15 0 15 0 15 1 14 1 15 1 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-77,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,22595985,0,84,0,0,23.144576,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 2 18 2 15 4 18 7 16 9 17 4 18 5 17 6 15 7 15 7 15 6 14 8 13 6 15 7 15 6 14 5 14 7 12 7 14 7 14 7 14 7 14 6 13 6 15 6 15 6 13 4 0 0 14 5 14 5 15 5 13 4 12 3 13 4 13 2 12 2 12 1 15 3 14 3 12 1 16 3 16 2 14 1 12 1 14 1 16 0 15 2 14 1 16 0 15 -1 15 0 17 0 16 0 15 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-77,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,22600425,0,84,0,0,23.180477,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 -17 -2 -18 -3 -18 -1 -19 -2 -21 -1 -19 -1 -18 -1 -16 -3 -19 2 -19 1 -18 2 -18 1 -16 0 -17 0 -17 3 -17 1 -18 2 -17 1 -16 2 -16 2 -17 2 -16 1 -15 2 -16 2 -15 0 -15 0 0 0 -14 -1 -14 0 -14 -1 -13 -1 -14 -2 -15 -1 -16 -3 -14 -4 -15 -2 -15 -3 -17 -3 -15 -2 -15 -1 -15 -3 -14 -4 -17 -5 -16 -5 -17 -3 -17 -6 -15 -5 -15 -4 -16 -5 -14 -3 -16 -4 -16 -5 -16 0 0 0 0 0 0 0 0 0 0 ]
