type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-69,11,0,0,0,0,0,0,0,0,0,-95,0,8,1,3905704,0,37,0,0,4.226441,128,[37 80 2 0 0 0 0 0 0 0 0 0 11 20 11 22 10 20 9 22 10 18 9 22 6 21 7 22 7 21 5 21 5 21 4 21 4 21 3 21 3 20 4 19 3 19 5 18 4 19 3 18 3 18 4 17 3 17 4 17 5 17 4 15 0 0 5 16 5 15 5 14 5 14 5 14 6 13 6 14 7 13 7 13 7 13 8 13 9 13 9 13 9 13 10 12 9 13 10 11 10 11 11 12 12 12 11 10 12 12 12 12 13 11 13 11 13 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-69,11,0,0,0,0,0,0,0,0,0,-95,0,8,1,3938417,0,37,0,0,4.258757,128,[37 80 2 0 0 0 0 0 0 0 0 0 -17 -19 -16 -20 -15 -20 -14 -21 -14 -20 -14 -22 -13 -20 -11 -20 -12 -21 -11 -21 -10 -21 -10 -20 -9 -20 -8 -20 -9 -19 -9 -19 -8 -19 -8 -19 -9 -18 -9 -18 -8 -17 -7 -17 -7 -17 -8 -16 -8 -16 -8 -16 0 0 -8 -15 -10 -15 -10 -14 -9 -15 -10 -13 -10 -14 -11 -14 -10 -13 -11 -12 -11 -13 -12 -13 -12 -11 -12 -11 -11 -11 -13 -11 -13 -11 -14 -11 -14 -10 -15 -10 -15 -10 -14 -11 -15 -10 -15 -9 -16 -9 -16 -8 -16 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-74,11,1,3,1,1,1,1,0,0,0,-95,1,8,1,3942051,0,84,0,0,4.301537,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 -20 2 -20 2 -19 4 -20 7 -20 3 -20 4 -18 3 -19 4 -18 6 -18 6 -17 5 -18 7 -16 7 -15 5 -16 5 -17 5 -15 5 -15 5 -14 4 -15 5 -14 5 -14 4 -14 4 -14 4 -14 3 -14 0 0 1 -13 3 -13 2 -14 1 -13 1 -13 1 -14 0 -14 -1 -14 1 -14 0 -14 -1 -12 -2 -15 -2 -14 -2 -13 -3 -13 -4 -13 -3 -13 -4 -13 -4 -12 -5 -13 -4 -13 -5 -14 -6 -14 -8 -13 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-75,11,1,3,1,1,1,1,0,0,0,-95,1,8,1,3942652,0,84,0,0,4.342528,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 18 -9 17 -10 16 -10 17 -12 20 -10 14 -10 15 -10 14 -12 15 -12 15 -11 14 -11 13 -12 13 -13 12 -11 11 -11 14 -10 11 -10 13 -9 11 -11 12 -10 12 -9 12 -9 11 -10 11 -9 10 -9 11 0 0 -7 12 -8 12 -7 11 -7 12 -6 12 -6 12 -6 12 -5 11 -4 11 -5 12 -4 11 -4 12 -5 12 -4 12 -3 13 -2 10 -3 13 -2 13 -3 13 -1 14 -1 14 -2 13 -2 14 -1 12 -1 16 -1 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-74,11,1,3,1,1,1,1,0,0,0,-95,1,8,1,3943181,0,84,0,0,4.384261,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 -19 11 -18 10 -18 12 -16 14 -19 13 -15 12 -14 12 -13 12 -13 12 -12 12 -12 13 -13 10 -13 13 -12 13 -11 13 -12 11 -11 10 -10 10 -11 11 -10 11 -11 11 -10 10 -9 10 -11 11 -8 9 -10 0 0 10 -10 9 -11 8 -10 9 -10 8 -11 8 -10 7 -11 8 -11 8 -11 6 -11 6 -12 7 -11 7 -11 5 -11 4 -13 4 -13 4 -13 5 -13 6 -14 6 -14 4 -13 4 -13 4 -14 3 -14 3 -14 3 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-75,11,1,3,1,1,1,1,0,0,0,-95,1,8,1,3943782,0,84,0,0,4.426362,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 11 -19 9 -17 8 -19 8 -19 10 -18 6 -18 5 -18 6 -18 4 -18 3 -17 4 -18 3 -17 5 -17 4 -16 4 -17 2 -16 4 -15 3 -15 2 -16 3 -16 3 -15 4 -15 2 -15 3 -14 3 -14 3 0 0 -14 3 -14 4 -13 4 -13 5 -12 5 -13 4 -12 5 -12 6 -12 5 -12 5 -11 6 -12 6 -11 7 -10 7 -12 7 -11 7 -10 7 -11 8 -11 9 -11 9 -10 9 -11 9 -11 9 -10 9 -10 10 -10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-75,11,1,3,1,1,1,1,0,0,0,-95,1,8,1,3944743,0,84,0,0,4.466815,384,[84 -64 4 0 0 0 0 0 0 0 0 0 18 6 16 7 19 7 17 7 21 8 16 10 15 9 15 10 14 10 15 10 14 11 13 11 14 10 12 10 14 9 12 10 12 8 13 9 12 9 13 10 11 10 10 8 11 7 11 8 10 7 11 8 0 0 10 8 11 7 11 7 11 6 11 6 12 6 10 5 11 4 12 5 12 4 11 5 11 3 12 4 11 3 11 3 13 2 12 2 12 1 13 1 12 2 14 2 15 2 14 1 13 0 15 0 14 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-74,11,1,3,1,1,1,1,0,0,0,-95,1,8,1,3947729,0,84,0,0,4.503451,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 18 -10 18 -10 17 -10 16 -12 18 -10 16 -9 15 -9 14 -11 15 -10 15 -11 13 -12 13 -11 13 -11 13 -10 12 -12 12 -11 11 -11 12 -10 11 -10 12 -10 12 -9 12 -10 11 -8 11 -8 11 -8 11 0 0 -7 11 -8 12 -7 11 -7 11 -6 10 -6 11 -6 11 -5 11 -5 11 -5 13 -5 12 -4 12 -3 11 -3 12 -3 13 -3 14 -2 13 -3 11 -2 12 -2 13 -1 13 -1 13 0 14 0 14 -1 13 -1 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-75,11,1,3,1,1,1,1,0,0,0,-95,2,8,1,3953577,0,84,0,0,4.545038,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 0 -20 -2 -21 -2 -23 -1 -17 -3 -20 -4 -19 -5 -20 -4 -18 -4 -18 -6 -17 -5 -17 -5 -18 -5 -17 -7 -16 -7 -16 -5 -16 -7 -16 -5 -16 -6 -16 -5 -15 -5 -13 -4 -14 -3 -15 -4 -15 -4 -13 -4 0 0 -14 -3 -14 -3 -13 -2 -14 -2 -14 -3 -13 -1 -14 0 -14 -1 -14 -1 -14 1 -14 0 -14 0 -15 0 -15 0 -13 2 -14 1 -13 2 -15 2 -13 3 -14 2 -15 3 -14 4 -13 4 -15 4 -15 5 -14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-75,11,1,3,1,1,1,1,0,0,0,-95,2,8,1,3953577,0,84,0,0,4.587951,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 0 -20 -2 -21 -2 -23 -1 -17 -3 -20 -4 -19 -5 -20 -4 -18 -4 -18 -6 -17 -5 -17 -5 -18 -5 -17 -7 -16 -7 -16 -5 -16 -7 -16 -5 -16 -6 -16 -5 -15 -5 -13 -4 -14 -3 -15 -4 -15 -4 -13 -4 0 0 -14 -3 -14 -3 -13 -2 -14 -2 -14 -3 -13 -1 -14 0 -14 -1 -14 -1 -14 1 -14 0 -14 0 -15 0 -15 0 -13 2 -14 1 -13 2 -15 2 -13 3 -14 2 -15 3 -14 4 -13 4 -15 4 -15 5 -14 6 0 0 0 0 0 0 0 0 0 0 ]
