type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-76,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,8371096,0,37,0,0,8.757849,128,[37 80 2 0 0 0 0 0 0 0 0 0 32 -19 32 -19 33 -17 31 -16 31 -15 28 -10 28 -10 31 -10 28 -8 29 -9 28 -9 28 -8 27 -9 28 -7 26 -6 26 -8 24 -6 23 -5 23 -6 22 -5 21 -5 19 -5 19 -5 20 -8 19 -7 18 -7 0 0 18 -3 15 -5 15 -8 14 -7 14 -10 12 -6 12 -6 10 -7 10 -4 10 -12 8 -12 10 -9 9 -10 9 -10 6 -7 7 -10 5 -11 6 -10 6 -9 3 -9 1 -12 3 -9 3 -9 4 -13 0 -10 1 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-77,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,8409034,0,37,0,0,8.795562,128,[37 80 2 0 0 0 0 0 0 0 0 0 -33 2 -35 -2 -36 0 -32 -1 -35 1 -33 -2 -34 -4 -31 -5 -32 -7 -32 -4 -31 -8 -30 -5 -28 -8 -29 -4 -28 -7 -28 -6 -24 -5 -25 -5 -24 -5 -25 -5 -22 -5 -19 -4 -21 -5 -19 -3 -21 -2 -23 -3 0 0 -19 -2 -20 1 -18 0 -17 0 -17 0 -15 2 -15 2 -16 4 -14 3 -13 2 -16 4 -12 5 -12 4 -12 7 -11 6 -9 4 -9 9 -10 8 -7 7 -10 6 -6 8 -6 8 -6 6 -6 7 -6 8 -4 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-80,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8410076,0,84,0,0,8.830291,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 -13 -24 -12 -22 -15 -21 -14 -18 -12 -19 -14 -19 -11 -19 -15 -17 -12 -14 -14 -17 -13 -16 -17 -19 -14 -16 -15 -13 -12 -16 -12 -17 -13 -14 -16 -14 -14 -18 -12 -15 -12 -14 -11 -16 -10 -13 -10 -14 -9 -9 -8 0 0 -12 -8 -11 -9 -10 -4 -11 -7 -7 -4 -13 -5 -9 -6 -11 -2 -11 -4 -10 -1 -10 -1 -9 0 -8 0 -11 1 -10 -1 -9 -2 -7 -1 -8 -1 -8 2 -9 1 -6 -2 -12 3 -6 3 -6 2 -6 2 -5 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-80,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8414171,0,84,0,0,8.874421,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 -3 -23 -8 -20 -8 -26 -12 -26 -8 -23 -6 -21 -6 -22 -7 -21 -9 -21 -7 -20 -4 -18 -7 -20 -6 -23 -5 -19 -7 -18 -11 -16 -8 -14 -4 -17 -6 -16 -8 -16 -7 -16 -5 -17 -2 -16 -2 -16 -2 -15 -3 0 0 -16 1 -14 1 -14 3 -15 3 -14 -2 -11 0 -11 0 -14 0 -11 0 -9 1 -12 5 -9 2 -7 4 -7 4 -9 5 -7 4 -6 6 -6 7 -6 7 -6 6 -7 6 -4 5 -3 5 -2 7 -2 7 -6 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-83,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8419059,0,84,0,0,8.915632,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -24 3 -23 1 -23 -2 -26 -3 -20 -5 -21 -1 -23 -3 -23 -2 -22 -3 -22 -1 -25 -7 -22 -4 -24 -3 -21 -3 -21 -3 -19 -2 -19 -4 -18 -2 -18 -4 -18 -2 -18 -3 -14 -1 -15 -3 -16 -2 -16 -1 -13 1 0 0 -13 -2 -14 -2 -15 1 -11 3 -13 2 -12 3 -9 2 -12 3 -11 1 -7 4 -7 5 -11 4 -6 5 -8 8 -9 5 -8 5 -6 7 -8 6 -6 4 -8 6 -7 6 -3 6 -6 5 -2 6 -6 6 -2 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8424633,0,84,0,0,8.956421,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 -25 7 -23 7 -22 5 -21 11 -21 7 -23 8 -20 10 -22 11 -19 7 -23 7 -18 10 -21 8 -19 12 -18 9 -19 13 -17 11 -14 10 -16 9 -14 10 -14 7 -17 8 -14 8 -15 6 -13 7 -12 6 -14 0 0 9 -10 6 -14 6 -11 3 -10 5 -9 2 -12 2 -9 3 -9 4 -10 2 -10 0 -9 3 -10 -1 -10 2 -10 0 -8 2 -8 0 -8 0 -7 0 -10 -1 -9 -2 -9 -2 -5 0 -7 -1 -5 -6 -6 -3 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8430622,0,84,0,0,8.996622,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 17 14 17 10 16 11 13 13 15 12 18 12 15 9 18 9 17 11 20 8 17 8 17 9 13 11 16 9 18 11 13 6 15 10 14 8 14 8 13 8 9 7 9 7 10 6 12 7 11 7 9 0 0 8 6 7 7 7 8 7 6 9 4 9 3 7 3 10 6 6 5 6 4 7 3 7 4 7 1 6 0 8 -1 7 2 7 0 7 0 8 1 4 -1 6 -5 5 -6 7 -3 7 -4 7 -2 4 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8439814,0,84,0,0,9.31429,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 -17 11 -22 14 -21 15 -19 18 -20 18 -19 15 -17 19 -16 14 -14 15 -14 17 -13 18 -11 15 -12 19 -11 13 -11 16 -11 14 -8 12 -12 16 -9 13 -11 13 -13 11 -12 12 -12 12 -8 11 -7 12 -11 0 0 10 -11 8 -10 10 -7 10 -10 9 -8 7 -10 7 -9 6 -9 5 -8 4 -10 6 -9 6 -6 4 -9 2 -9 3 -12 0 -8 5 -9 2 -8 4 -9 -2 -8 1 -13 -1 -11 -3 -10 -1 -5 0 -8 -4 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-79,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8441671,0,84,0,0,9.72660,384,[84 -64 4 0 0 0 0 0 0 0 0 0 4 22 2 22 1 21 2 20 1 23 -1 23 -1 19 -1 19 -1 20 -1 21 0 20 -3 19 -4 18 -4 20 -2 18 -2 16 -2 16 -1 18 2 13 -3 18 0 14 0 13 0 14 -2 14 -1 14 -1 12 0 0 0 10 -3 12 3 12 3 10 2 9 0 12 0 10 4 6 5 6 3 9 3 8 3 8 1 7 5 7 4 4 3 2 3 5 5 7 4 6 4 5 6 2 6 1 8 2 6 2 5 5 7 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C4:4F:33:6A:4B:8D,-78,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,8447635,0,84,0,0,9.107902,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 13 19 15 20 14 17 12 22 11 15 15 13 15 15 16 14 13 13 12 12 14 12 14 12 15 10 16 12 15 9 16 9 12 10 12 8 12 8 12 11 10 9 9 7 8 9 10 8 9 8 8 0 0 7 7 6 9 7 9 9 9 9 6 9 6 9 6 6 6 7 5 9 3 8 4 9 3 7 2 9 5 8 2 8 1 8 -1 8 2 9 3 7 -1 8 0 9 1 8 -1 8 -2 7 -2 7 -2 0 0 0 0 0 0 0 0 0 0 ]
