type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,3C:61:05:12:7D:CC,-62,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,11121761,0,37,0,0,11.444744,128,[37 80 2 0 0 0 0 0 0 0 0 0 -16 6 -16 5 -17 6 -18 6 -18 4 -17 4 -18 4 -18 3 -18 3 -19 2 -20 3 -21 2 -21 2 -20 2 -18 1 -21 3 -19 1 -18 0 -18 1 -19 1 -18 1 -19 2 -17 0 -18 2 -19 3 -19 2 0 0 -18 3 -19 4 -18 4 -18 3 -16 3 -17 5 -18 5 -16 4 -16 6 -17 4 -17 5 -15 4 -16 5 -16 5 -16 5 -16 6 -17 7 -16 6 -15 6 -14 7 -15 7 -15 7 -15 7 -15 8 -14 7 -14 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-62,11,0,0,0,0,0,0,0,0,0,-94,0,8,1,11125860,0,37,0,0,11.475443,128,[37 80 2 0 0 0 0 0 0 0 0 0 4 -19 5 -19 5 -20 6 -21 6 -19 7 -18 9 -19 10 -18 10 -19 10 -19 10 -21 11 -20 10 -20 10 -19 11 -18 12 -21 12 -18 11 -17 11 -17 11 -17 12 -17 12 -17 11 -15 10 -18 10 -20 10 -19 0 0 10 -18 10 -19 9 -19 8 -18 8 -17 8 -18 9 -19 8 -17 7 -19 8 -18 6 -19 6 -17 6 -19 6 -19 6 -18 6 -18 5 -20 5 -18 5 -18 5 -18 5 -18 5 -18 4 -19 3 -19 3 -18 2 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11207163,0,84,0,0,11.529886,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -13 -3 -13 -3 -13 -2 -15 -1 -15 -1 -14 -1 -14 -1 -14 1 -14 0 -14 1 -15 1 -16 1 -14 1 -15 2 -15 3 -15 3 -14 3 -13 3 -14 3 -14 3 -14 3 -14 3 -13 3 -13 3 -15 2 -14 0 0 3 -14 2 -14 3 -14 2 -13 2 -13 1 -13 2 -14 1 -12 1 -13 0 -12 0 -13 0 -13 0 -13 -1 -13 0 -12 -1 -13 -1 -14 -2 -12 -1 -12 -2 -12 -1 -13 -1 -13 -2 -13 -3 -13 -2 -13 -3 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11208305,0,84,0,0,11.562340,384,[84 -64 4 0 0 0 0 0 0 0 0 0 10 4 11 4 11 5 12 5 12 6 11 6 11 7 10 6 11 7 11 7 11 9 11 9 10 9 10 10 9 10 11 10 9 10 9 9 9 10 8 9 9 10 9 10 8 10 9 10 9 10 9 9 0 0 9 9 9 9 9 9 9 8 8 9 9 8 9 9 9 8 10 8 9 7 9 7 9 7 9 7 9 6 9 7 10 6 10 7 9 5 10 5 10 5 10 5 9 6 10 6 11 4 10 5 10 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11213492,0,84,0,0,11.596514,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -13 3 -12 4 -13 5 -14 5 -12 6 -12 5 -12 6 -13 6 -13 6 -12 6 -13 7 -14 7 -13 8 -13 8 -12 9 -13 8 -12 8 -11 8 -11 8 -11 8 -12 8 -11 8 -10 7 -12 8 -12 7 -12 0 0 7 -13 7 -12 7 -12 6 -12 6 -11 7 -12 6 -12 5 -12 5 -12 4 -12 3 -12 5 -11 4 -12 4 -13 4 -12 3 -13 4 -13 2 -12 2 -12 1 -12 2 -13 3 -12 1 -12 1 -13 2 -13 1 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11219171,0,84,0,0,11.636801,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -9 9 -9 9 -9 11 -8 10 -8 10 -8 10 -8 10 -8 11 -8 11 -7 12 -8 12 -8 13 -7 13 -6 12 -6 13 -7 13 -6 12 -5 12 -6 12 -6 12 -6 13 -5 12 -5 12 -5 13 -6 11 -6 0 0 12 -7 11 -6 12 -7 11 -7 12 -5 11 -7 12 -7 10 -7 11 -7 9 -7 9 -8 9 -7 9 -8 10 -8 10 -7 10 -9 9 -9 8 -9 8 -9 8 -10 9 -9 9 -9 8 -9 7 -10 8 -9 7 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11224113,0,84,0,0,11.675861,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 11 -5 11 -6 12 -7 13 -6 11 -7 12 -7 12 -8 12 -8 11 -8 11 -9 11 -10 11 -10 11 -10 11 -10 10 -11 11 -10 10 -10 10 -10 10 -10 10 -11 10 -11 10 -10 8 -10 9 -11 9 -10 10 0 0 -10 9 -9 9 -10 10 -8 9 -10 9 -9 10 -9 10 -8 9 -9 10 -7 10 -7 11 -8 10 -8 10 -7 11 -7 9 -7 11 -6 11 -5 10 -5 11 -4 11 -6 11 -5 10 -5 11 -4 11 -5 10 -4 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11230182,0,84,0,0,11.716915,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 8 -10 9 -12 9 -13 9 -13 10 -13 8 -13 8 -13 8 -14 7 -14 7 -15 7 -15 7 -15 7 -15 6 -15 5 -16 6 -14 5 -15 5 -15 5 -15 4 -15 5 -15 4 -15 4 -15 4 -16 5 -14 5 0 0 -14 5 -14 6 -14 6 -14 6 -14 5 -14 5 -14 6 -12 6 -13 6 -12 7 -12 7 -12 6 -11 7 -11 7 -11 7 -12 8 -12 8 -10 8 -11 8 -9 9 -10 9 -10 8 -10 9 -9 10 -10 9 -9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11236078,0,84,0,0,11.757102,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 5 9 5 10 5 9 7 8 7 8 7 8 7 8 8 8 8 8 8 9 9 8 10 8 9 8 10 7 10 8 10 7 10 6 9 6 9 6 10 6 10 6 10 5 10 7 9 7 10 6 9 0 0 7 10 7 9 7 10 7 8 6 9 7 9 7 10 6 8 7 9 7 7 8 7 7 8 8 7 8 7 7 8 8 7 8 7 7 6 8 6 7 5 8 7 8 6 9 6 9 5 9 6 8 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,3C:61:05:12:7D:CC,-67,11,1,3,1,1,1,1,0,0,0,-94,1,8,1,11242128,0,84,0,0,11.789574,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 10 5 10 6 11 5 12 4 12 4 11 4 12 3 11 3 13 3 12 2 13 3 14 3 14 2 14 1 13 2 15 1 13 1 13 1 13 1 13 1 13 1 14 0 13 0 13 1 14 1 13 0 0 1 13 1 13 1 13 2 12 1 11 2 13 2 13 3 12 3 12 3 11 3 12 3 11 3 12 3 11 3 12 4 11 4 12 4 10 5 10 6 9 5 11 5 10 6 11 6 10 5 10 6 9 0 0 0 0 0 0 0 0 0 0 ]
